"No","테이블명","테이블ID","컬럼명","컬럼ID","데이터타입"
1,"사용자","user","사용자 아이디","user_id","CHAR(50)"
2,"사용자","user","사용자명","user_name","VARCHAR(50)"
3,"사용자","user","비밀번호","user_password","VARCHAR(255)"
4,"사용자","user","이메일","email","null"
5,"사용자","user","사용자분류코드","user_caqtegory_id","VARCHAR(20)"
6,"사용자","user","사용자그룹코드","user_group_id","CHAR(20)"
7,"사용자","user","사용여부","enabled","TINYINT"
8,"사용자","user","등록일시","regist_datetime","DATETIME"
9,"사용자","user","변경일시","update_datetime","DATETIME"
10,"사용자","user","삭제일시","delete_datetime","DATETIME"
11,"사용자권한","user_authorities","사용자 아이디","user_id","CHAR(50)"
12,"사용자권한","user_authorities","사용자권한","authority","VARCHAR(50)"
13,"사용자그룹","user_group","사용자그룹코드","user_group_id","CHAR(20)"
14,"사용자그룹","user_group","사용자그룹명","user_group_name","VARCHAR(50)"
15,"사용자그룹","user_group","사용여부","enabled","TINYINT"
16,"소비자","consumer","소비자 아이디","consumer_id","null"
17,"소비자","consumer","비밀번호","consumer_password","null"
18,"소비자","consumer","소비자명","consumer_name","null"
19,"소비자","consumer","이메일","name","null"
20,"소비자","consumer","연락처","phone_no","null"
21,"소비자","consumer","주소","address","null"
22,"소비자","consumer","성별","gender","null"
23,"소비자","consumer","나이","age","null"
24,"소비자","consumer","개인정보동의 여부","personal_info_agreement","null"
25,"소비자","consumer","개인정보동의 일시","personal_info_agree_datetime","null"
26,"개인정보동의분류","personal_info_agreement_category","개인정보동의분류코드","pig_category_id","VARCHAR(50)"
27,"개인정보동의분류","personal_info_agreement_category","개인정보동의분류명","pig_category_name","VARCHAR(50)"
28,"개인정보동의분류","personal_info_agreement_category","사용여부","COL","TINYINT"
29,"개인정보동의내역","personal_info_agreement_history","일련번호","id","BIGINT"
30,"개인정보동의내역","personal_info_agreement_history","사용자 아이디","user_id","CHAR(50)"
31,"개인정보동의내역","personal_info_agreement_history","개인정보동의분류코드","pig_category_id","VARCHAR(50)"
32,"개인정보동의내역","personal_info_agreement_history","개인정보동의일시","pig_datetime","DATETIME"
33,"사용자 분류","user_category","사용자분류코드","user_caqtegory_id","VARCHAR(20)"
34,"사용자 분류","user_category","사용자분류명칭","user_category_name","VARCHAR(50)"
35,"사용자 분류","user_category","사용여부","COL","TINYINT"
